,date,open,close,high,low,volume,code
1493,2018-03-02,654.469,652.879,660.029,646.469,25991.0,600519
1494,2018-03-05,654.649,636.579,658.469,633.499,37234.0,600519
1495,2018-03-06,641.469,634.729,644.069,613.599,64570.0,600519
1496,2018-03-07,631.469,626.509,640.469,625.459,34595.0,600519
1497,2018-03-08,630.469,639.229,640.469,624.469,35349.0,600519
1498,2018-03-09,644.019,644.669,649.039,639.969,30171.0,600519
1499,2018-03-12,646.019,640.419,650.389,639.239,39888.0,600519
1500,2018-03-13,639.469,626.819,643.069,626.469,38577.0,600519
1501,2018-03-14,626.139,643.349,644.549,623.689,37355.0,600519
1502,2018-03-15,644.489,662.939,663.469,644.489,56148.0,600519
1503,2018-03-16,664.069,656.319,670.449,655.349,35855.0,600519
1504,2018-03-19,660.439,669.949,670.459,655.469,38666.0,600519
1505,2018-03-20,666.469,664.199,668.469,656.469,28877.0,600519
1506,2018-03-21,666.579,658.469,669.579,656.469,26742.0,600519
1507,2018-03-22,660.469,642.549,664.469,640.479,37486.0,600519
1508,2018-03-23,617.469,627.529,639.959,616.549,52546.0,600519
1509,2018-03-26,624.469,629.959,631.529,618.349,46256.0,600519
1510,2018-03-27,639.469,631.209,642.349,620.469,47548.0,600519
1511,2018-03-28,616.439,598.519,619.469,585.469,113539.0,600519
1512,2018-03-29,598.669,605.569,614.319,574.879,79081.0,600519
1513,2018-03-30,602.469,600.089,609.969,596.349,36540.0,600519
1514,2018-04-02,596.469,596.529,607.469,590.579,32039.0,600519
1515,2018-04-03,594.469,594.379,603.469,591.859,40235.0,600519
1516,2018-04-04,598.469,610.479,616.899,596.849,56891.0,600519
1517,2018-04-09,613.569,614.769,621.899,606.619,30833.0,600519
1518,2018-04-10,621.269,624.489,624.969,614.929,32043.0,600519
1519,2018-04-11,626.469,621.829,631.249,619.489,25723.0,600519
1520,2018-04-12,620.469,610.669,623.349,608.689,30713.0,600519
1521,2018-04-13,614.969,603.329,617.469,601.549,27549.0,600519
1522,2018-04-16,597.049,597.849,603.319,593.469,32939.0,600519
1523,2018-04-17,601.469,582.669,601.849,582.069,35172.0,600519
1524,2018-04-18,587.469,572.109,587.469,561.469,62616.0,600519
1525,2018-04-19,576.319,596.429,596.469,573.129,44207.0,600519
1526,2018-04-20,597.469,586.729,610.469,584.699,41511.0,600519
1527,2018-04-23,582.479,590.479,596.799,582.479,32659.0,600519
1528,2018-04-24,592.469,606.349,609.969,591.469,47282.0,600519
1529,2018-04-25,605.469,607.439,608.469,599.489,25252.0,600519
1530,2018-04-26,608.469,594.699,608.749,589.469,35047.0,600519
1531,2018-04-27,601.719,578.999,604.829,571.469,57915.0,600519
1532,2018-05-02,576.469,584.299,585.459,561.529,70259.0,600519
1533,2018-05-03,582.469,587.349,590.149,574.469,36326.0,600519
1534,2018-05-04,587.449,579.339,591.299,577.039,37375.0,600519
1535,2018-05-07,576.419,614.639,618.349,574.239,85591.0,600519
1536,2018-05-08,614.499,625.299,628.599,614.499,62497.0,600519
1537,2018-05-09,625.549,618.419,628.769,613.589,32331.0,600519
1538,2018-05-10,619.969,630.659,632.469,619.969,39293.0,600519
1539,2018-05-11,635.159,634.489,646.969,632.169,39141.0,600519
1540,2018-05-14,640.469,658.879,659.469,640.469,51014.0,600519
1541,2018-05-15,662.469,659.529,662.909,650.469,38055.0,600519
1542,2018-05-16,656.469,650.989,662.129,649.749,30795.0,600519
1543,2018-05-17,651.589,643.849,653.969,640.469,28517.0,600519
1544,2018-05-18,640.459,655.789,657.469,637.659,29255.0,600519
1545,2018-05-21,660.469,651.289,663.769,648.949,29059.0,600519
1546,2018-05-22,651.689,656.039,656.309,646.489,16998.0,600519
1547,2018-05-23,656.469,640.249,656.469,640.049,28268.0,600519
1548,2018-05-24,636.469,631.869,645.129,629.469,30416.0,600519
1549,2018-05-25,628.469,633.329,643.469,628.469,26511.0,600519
1550,2018-05-28,634.469,656.869,657.129,631.589,42805.0,600519
1551,2018-05-29,655.269,647.899,666.469,647.749,40820.0,600519
1552,2018-05-30,643.689,642.339,653.769,636.519,37147.0,600519
1553,2018-05-31,646.719,667.599,668.089,646.709,71852.0,600519
1554,2018-06-01,667.599,661.579,671.449,655.229,36177.0,600519
1555,2018-06-04,668.819,698.439,699.369,662.349,73805.0,600519
1556,2018-06-05,702.969,704.519,711.169,693.699,52629.0,600519
1557,2018-06-06,704.469,702.219,717.419,698.769,48969.0,600519
1558,2018-06-07,706.449,697.439,712.019,695.369,39167.0,600519
1559,2018-06-08,696.469,694.419,702.369,686.469,34958.0,600519
1560,2018-06-11,692.519,692.199,702.469,684.799,36547.0,600519
1561,2018-06-12,694.469,715.659,719.969,692.969,55287.0,600519
1562,2018-06-13,716.469,706.799,719.089,705.349,35244.0,600519
1563,2018-06-14,706.469,702.599,710.269,691.649,36159.0,600519
1564,2018-06-15,700.668,700.798,706.048,696.568,31707.0,600519
1565,2018-06-19,696.468,665.468,696.468,664.468,60195.0,600519
1566,2018-06-20,668.468,691.058,692.468,668.468,45838.0,600519
1567,2018-06-21,692.688,686.788,706.358,686.238,39182.0,600519
1568,2018-06-22,681.468,693.998,694.468,677.468,28854.0,600519
1569,2018-06-25,693.468,693.028,706.438,692.368,32934.0,600519
1570,2018-06-26,692.778,682.268,697.348,674.468,46577.0,600519
1571,2018-06-27,679.468,649.908,684.468,648.468,57298.0,600519
1572,2018-06-28,641.468,638.398,646.468,624.468,50833.0,600519
1573,2018-06-29,639.768,658.928,659.768,632.468,32929.0,600519
1574,2018-07-02,661.988,639.018,666.798,630.468,37558.0,600519
1575,2018-07-03,637.228,622.388,643.248,605.698,82837.0,600519
1576,2018-07-04,619.468,618.378,627.468,615.468,37990.0,600519
1577,2018-07-05,627.468,629.858,643.668,627.468,47123.0,600519
1578,2018-07-06,634.468,641.588,648.398,626.728,44156.0,600519
1579,2018-07-09,647.498,654.708,657.328,647.198,40572.0,600519
1580,2018-07-10,656.468,653.228,658.968,640.798,29010.0,600519
1581,2018-07-11,637.468,647.048,651.468,629.688,24278.0,600519
1582,2018-07-12,645.468,665.008,668.638,645.468,40170.0,600519
1583,2018-07-13,669.768,674.458,675.568,662.588,28907.0,600519
1584,2018-07-16,679.768,682.148,691.578,678.498,32474.0,600519
1585,2018-07-17,684.468,669.898,684.468,663.488,27806.0,600519
1586,2018-07-18,669.898,664.908,677.158,662.468,24521.0,600519
